sha256,size_bytes,copy_count,source_relative_path,destination_relative_path
00e348ab3d6bc2eef908345d0bc4e008c95bcfecec060dfda5c4967953761396,1373,3,community-platform/node_modules/next/dist/compiled/react-dom/client.js,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/compiled/react-dom/client.js
00e348ab3d6bc2eef908345d0bc4e008c95bcfecec060dfda5c4967953761396,1373,3,community-platform/node_modules/next/dist/compiled/react-dom-experimental/client.js,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/compiled/react-dom-experimental/client.js
00e348ab3d6bc2eef908345d0bc4e008c95bcfecec060dfda5c4967953761396,1373,3,community-platform/node_modules/react-dom/client.js,06_DIGITAL_PLATFORM/community-platform/node_modules/react-dom/client.js
01b0f2dc082c773bf1f36664bc564c7e769cfb381b2b3b15e0595dcce1c60aff,40244,2,institution/06-templates/ministry/MIN-PLAN-001-Formation-Plan.docx,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/ministry/MIN-PLAN-001-Formation-Plan.docx
01b0f2dc082c773bf1f36664bc564c7e769cfb381b2b3b15e0595dcce1c60aff,40244,2,operations/templates/06-Ministry/MIN-PLAN-001-Formation-Plan.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/operations/templates/06-Ministry/MIN-PLAN-001-Formation-Plan.docx
022471744dba797bdd8db0287562722068ec8e12e7dcfacba5880c39277883b9,40170,2,institution/06-templates/succession/SUC-COI-001-Succession-Conflict-Record.docx,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/succession/SUC-COI-001-Succession-Conflict-Record.docx
022471744dba797bdd8db0287562722068ec8e12e7dcfacba5880c39277883b9,40170,2,operations/templates/08-Succession/SUC-COI-001-Succession-Conflict-Record.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/operations/templates/08-Succession/SUC-COI-001-Succession-Conflict-Record.docx
02d6bdf50fff5e3c422c2f71e2dda33820cb4f5d3146d31c0ebe4fc060213a3f,1629,2,community-platform/node_modules/@supabase/realtime-js/dist/main/phoenix/socketAdapter.d.ts.map,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/realtime-js/dist/main/phoenix/socketAdapter.d.ts.map
02d6bdf50fff5e3c422c2f71e2dda33820cb4f5d3146d31c0ebe4fc060213a3f,1629,2,community-platform/node_modules/@supabase/realtime-js/dist/module/phoenix/socketAdapter.d.ts.map,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/realtime-js/dist/module/phoenix/socketAdapter.d.ts.map
02dc86299e20707aec5c196f4672ed4f9f5636fcb26e8d7b491a5b31c4a40d11,7600,4,governance/02_model_charter_member.md,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/governance/02_model_charter_member.md
02dc86299e20707aec5c196f4672ed4f9f5636fcb26e8d7b491a5b31c4a40d11,7600,4,institutional_integrity/institutional_integrity_v0_2_release/modular_source/governance/02_model_charter_member.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_2_release/modular_source/governance/02_model_charter_member.md
02dc86299e20707aec5c196f4672ed4f9f5636fcb26e8d7b491a5b31c4a40d11,7600,4,institutional_integrity/institutional_integrity_v0_3/governance/02_model_charter_member.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_3/governance/02_model_charter_member.md
02dc86299e20707aec5c196f4672ed4f9f5636fcb26e8d7b491a5b31c4a40d11,7600,4,institutional_integrity/institutional_integrity_v0_4/governance/02_model_charter_member.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_4/governance/02_model_charter_member.md
0326543ee7ddf0b78e8b3be1530e0f07ba3e321749fde8b5c25374b293ab0dad,40226,2,institution/06-templates/ministry/MIN-EQ-001-Prior-Learning-Equivalency.docx,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/ministry/MIN-EQ-001-Prior-Learning-Equivalency.docx
0326543ee7ddf0b78e8b3be1530e0f07ba3e321749fde8b5c25374b293ab0dad,40226,2,operations/templates/06-Ministry/MIN-EQ-001-Prior-Learning-Equivalency.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/operations/templates/06-Ministry/MIN-EQ-001-Prior-Learning-Equivalency.docx
033fb8406f5293761c51dd07cc4e28a50adf5cdc70725159a7ec834aa7e07404,76089,2,community-platform/node_modules/next/dist/compiled/react-server-dom-turbopack/cjs/react-server-dom-turbopack-client.node.production.js,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/compiled/react-server-dom-turbopack/cjs/react-server-dom-turbopack-client.node.production.js
